confidence_threshold,total,accuracy,avg_cost,avg_latency_ms,strong_usage_rate
0.05,300,0.796667,0.00024228,1136.83,0.003333
0.1,300,0.796667,0.00024228,1136.83,0.003333
0.15,300,0.796667,0.00024228,1136.83,0.003333
0.2,300,0.796667,0.00024228,1136.83,0.003333
0.25,300,0.796667,0.00024228,1136.83,0.003333
0.3,300,0.796667,0.00024228,1136.83,0.003333
0.35,300,0.796667,0.00024228,1136.83,0.003333
0.4,300,0.796667,0.00024228,1136.83,0.003333
0.45,300,0.796667,0.00024228,1136.83,0.003333
0.5,300,0.796667,0.00024228,1136.83,0.003333
0.55,300,0.82,0.00047598,1812.3,0.446667
0.6,300,0.816667,0.0005022,1896.05,0.5
0.65,300,0.823333,0.00059953,2140.97,0.663333
0.7,300,0.823333,0.0006014,2145.36,0.666667
0.75,300,0.823333,0.0006014,2145.36,0.666667
0.8,300,0.823333,0.0006014,2145.36,0.666667
0.85,300,0.823333,0.0006014,2145.36,0.666667
0.9,300,0.823333,0.00089667,2659.16,0.933333
0.95,300,0.82,0.00097093,2777.8,1.0
1.0,300,0.82,0.00097093,2777.8,1.0
