advantage_threshold,total,accuracy,avg_cost,avg_latency_ms,strong_usage_rate
-1.8276047507292792,300,0.81,0.00064586,1777.83,1.0
-0.8113307731623789,300,0.813333,0.00064404,1775.36,0.996667
-0.7206441739708556,300,0.816667,0.00064191,1772.56,0.993333
-0.5777585379854862,300,0.816667,0.00064011,1771.09,0.99
-0.49684909861263904,300,0.816667,0.00063926,1769.82,0.986667
-0.4738154908844103,300,0.82,0.00063571,1765.19,0.98
-0.46264648005066256,300,0.82,0.00063399,1761.65,0.976667
-0.43477934187946093,300,0.82,0.00063272,1760.05,0.973333
-0.3990589970660155,300,0.82,0.00063069,1757.18,0.97
-0.3898833466675282,300,0.82,0.00062989,1754.9,0.966667
-0.3884798434064055,300,0.82,0.00062775,1752.71,0.963333
-0.37936476012410936,300,0.82,0.00062564,1749.61,0.96
-0.3559539955170607,300,0.82,0.00062272,1744.86,0.956667
-0.33500259995399095,300,0.82,0.00061998,1742.12,0.953333
-0.3277267055047274,300,0.82,0.0006179,1739.72,0.95
-0.3249589214883742,300,0.82,0.00061731,1738.79,0.946667
-0.3189749780799817,300,0.823333,0.00061551,1737.74,0.943333
-0.3080071670876438,300,0.823333,0.00061414,1736.04,0.94
-0.2967824409269767,300,0.823333,0.00061236,1733.43,0.936667
-0.29059917904195726,300,0.823333,0.00061175,1735.03,0.933333
-0.28743074300890853,300,0.823333,0.00060936,1732.57,0.93
-0.28514885074040497,300,0.823333,0.00060605,1728.12,0.926667
-0.2731805616621433,300,0.823333,0.00060432,1724.57,0.923333
-0.25827547683624813,300,0.823333,0.00060131,1721.81,0.92
-0.254512987653789,300,0.823333,0.00059964,1724.17,0.916667
-0.2518032887415418,300,0.823333,0.00059888,1721.08,0.913333
-0.24735121559752105,300,0.823333,0.00059677,1745.13,0.91
-0.244838929298549,300,0.823333,0.0005961,1741.27,0.906667
-0.24271165937756892,300,0.823333,0.00059342,1737.48,0.903333
-0.23819572674449518,300,0.823333,0.0005919,1734.22,0.9
-0.23458611556709463,300,0.823333,0.0005907,1732.42,0.896667
-0.22983775879870655,300,0.823333,0.00058931,1731.0,0.893333
-0.22505517414289336,300,0.823333,0.00058738,1729.53,0.89
-0.22024626673539754,300,0.826667,0.00058564,1726.37,0.886667
-0.21417742840346335,300,0.826667,0.00058392,1723.01,0.883333
-0.21215451545200825,300,0.826667,0.00058311,1721.66,0.88
-0.21140908129735528,300,0.826667,0.00058136,1719.98,0.876667
-0.21052224779074552,300,0.83,0.00057864,1708.99,0.873333
-0.2089915054252099,300,0.83,0.00057697,1706.06,0.87
-0.205956028875661,300,0.83,0.00057623,1705.14,0.866667
-0.20418255316486475,300,0.83,0.00057405,1702.63,0.863333
-0.20191588718170136,300,0.83,0.00057349,1695.73,0.86
-0.19142754848579127,300,0.83,0.00057183,1693.38,0.856667
-0.18192004964221553,300,0.83,0.00056898,1689.89,0.853333
-0.17725102310171292,300,0.83,0.0005675,1687.56,0.85
-0.16772474684970942,300,0.83,0.00056673,1685.98,0.846667
-0.16127236298639863,300,0.83,0.00056519,1685.16,0.843333
-0.16020723491258804,300,0.83,0.00056462,1682.1,0.84
-0.15720311672485981,300,0.83,0.00056193,1679.61,0.836667
-0.1541232776653107,300,0.83,0.0005599,1676.9,0.833333
-0.1522474577477761,300,0.83,0.00055897,1674.66,0.83
-0.1490186154723921,300,0.83,0.00055821,1671.89,0.826667
-0.14569471011512217,300,0.83,0.00055537,1672.25,0.823333
