advantage_threshold,total,accuracy,avg_cost,avg_latency_ms,strong_usage_rate
-1.8958506884246669,450,0.804444,0.00065124,1707.86,1.0
-0.8227335070311752,450,0.804444,0.00064978,1703.06,0.997778
-0.7246971800302708,450,0.804444,0.00064837,1701.05,0.995556
-0.6789577365475634,450,0.804444,0.00064722,1698.69,0.993333
-0.5891683755453511,450,0.804444,0.00064608,1696.45,0.991111
-0.5048896065319843,450,0.802222,0.0006448,1695.4,0.988889
-0.4794146361496072,450,0.802222,0.00064246,1693.1,0.984444
-0.45665133305356076,450,0.802222,0.00064106,1691.62,0.982222
-0.43732058332251944,450,0.802222,0.0006397,1689.71,0.98
-0.429891660801509,450,0.802222,0.00063931,1689.09,0.977778
-0.42740730389420667,450,0.802222,0.00063779,1687.75,0.975556
-0.4124858462234592,450,0.8,0.00063738,1684.87,0.973333
-0.3968055156908896,450,0.8,0.000637,1682.59,0.971111
-0.3926361686541693,450,0.8,0.00063581,1681.59,0.968889
-0.389094559558401,450,0.8,0.00063462,1679.7,0.966667
-0.3670342112698125,450,0.8,0.00063321,1695.73,0.964444
-0.3380235157440878,450,0.8,0.00063284,1691.14,0.962222
-0.3271527823248732,450,0.802222,0.00063168,1689.03,0.96
-0.32119644900478994,450,0.802222,0.00063129,1685.05,0.957778
-0.3165030339125394,450,0.802222,0.00063044,1683.98,0.955556
-0.31468578945360315,450,0.802222,0.00062959,1699.21,0.953333
-0.3118067894649804,450,0.802222,0.00062874,1697.65,0.951111
-0.2984003998890081,450,0.802222,0.00062835,1695.59,0.948889
-0.2818856656260372,450,0.802222,0.00062797,1692.64,0.946667
-0.27366568340091246,450,0.802222,0.00062595,1696.23,0.944444
-0.26955953864764504,450,0.802222,0.00062396,1693.75,0.942222
-0.2684644258212285,450,0.802222,0.00062244,1691.6,0.94
-0.2643914922299467,450,0.802222,0.00062062,1689.78,0.937778
-0.2565389186707588,450,0.802222,0.00061948,1688.27,0.935556
-0.2523664888726445,450,0.802222,0.00061847,1686.43,0.933333
-0.24972064081980533,450,0.802222,0.00061736,1688.0,0.931111
-0.24608375575416214,450,0.802222,0.00061668,1687.02,0.928889
-0.24346418338202072,450,0.802222,0.00061629,1684.85,0.926667
-0.2406458529755499,450,0.802222,0.00061533,1683.07,0.924444
-0.2316016839356134,450,0.802222,0.00061421,1679.87,0.922222
-0.2234138960204901,450,0.802222,0.00061372,1677.56,0.92
